word,sentiment
即将,-4.386282363
发生,-3.488195738
用过,-4.775746355
卧槽,-4.556655198
今天,-4.435661632
三年,-3.784790365
设计,-4.281733461
小爱,-3.523450672
卡,-4.857041228
电视,-4.762054862
体验,-4.794077462
胖,-3.546716828
用户,-4.712169022
有钱,-4.108084521
呆无辜,-4.016751152
发现,-4.004037999
之前,-4.28743555
老年人,-3.775103293
家,-4.638334623
奶绿,-3.94818612
六,-3.718990308
威武,-2.817396063
认识,-4.055382471
老雷,-3.678157402
三星,-4.791506164
第一,-3.916431443
屏,-4.833061542
是否,-4.840398696
建议,-3.76027002
白色,-3.546095043
三个,-4.498578016
不用,-3.566104882
屌,-3.547978975
注意,-4.611987075
钉子户,-3.712090956
坏,-5.193848151
黑雷军,-2.77436995
差,-3.986591303
书,-4.284441843
下次,-3.847357568
奋斗,-4.5657899
以后,-4.538771579
东西,-5.000514808
拥有,-4.647171201
上班,-2.397331022
做到,-4.094522228
科技,-4.310574057
抱拳,-3.479062835
不香,-3.626546116
变化,-3.625439683
充电,-5.322553193
笑哭,-4.155542019
想起,-4.506530543
开学,-3.762393534
今年,-5.017949316
戴口罩,-3.708772008
雷总赞,-2.68880904
样子,-4.201064815
快乐,-4.133076061
马云,-4.324984546
适合,-3.586397067
休息,-3.84964093
看雷,-3.074455958
恋爱,-3.745471373
雷总在,-4.113544639
使用,-3.701285698
出个,-4.440435176
考虑,-4.477255396
追,-3.139676584
里面,-4.185909033
可爱,-2.957482895
听说,-2.97459231
从前,-3.013604753
所有,-4.941415812
米粥,-2.329379456
贵,-3.663628941
旗舰,-3.593040342
好帅,-2.814495341
武汉,-3.938831227
代言人,-3.718289751
谈,-2.616289924
直接,-4.150674165
打脸,-3.612183692
技术,-4.564330593
雷总看,-2.936996478
半年,-5.029202575
研发,-4.549758528
路过,-3.028477886
时间,-4.382136595
手持,-3.091141185
不买,-3.113510457
谈过,-2.930147761
金山,-3.903803918
惊喜,-3.820006363
大哥,-2.967154014
不服,-4.391862438
唯一,-3.83769282
尺寸,-4.215990956
几次,-4.143315775
而生,-2.954038131
继续,-3.770537309
不顾一切,-2.91701902
佩服,-3.095757874
高,-3.525494345
多年,-3.865767686
变,-2.970555501
成为,-3.791961623
奶茶,-3.448587562
气息,-3.525016096
最大,-4.436824427
回来,-2.083387502
说话,-4.388459099
武大,-4.426347499
降价,-3.167487793
啊啊啊,-4.328092154
女孩子,-3.374984445
抢,-3.324990519
十年,-3.515974273
故事,-4.208662817
热爱,-4.269428364
进军,-2.8327368
容易,-3.751602362
能否,-3.658575706
哥哥,-4.035733325
老总,-3.759248616
生活,-3.692303567
有趣,-3.644342431
想买,-4.093985446
女孩,-2.96756227
断流,-3.264546012
下去,-3.03372298
越,-3.298492115
这次,-3.295569062
可能,-3.387838068
越做越,-2.973381068
最后,-4.062204425
亲切,-3.252417116
死,-3.789322044
入手,-3.8385438
一次,-3.835512383
面对,-3.765880202
名字,-3.5234928
话,-3.181521681
成熟,-3.20417018
两个,-4.135157416
颜值,-3.624577739
到底,-3.715528155
专门,-3.007058301
小屏,-2.945556458
拥抱,-3.342194976
不了,-4.237049251
售后,-3.81320797
愿,-4.082582276
哈哈哈,-3.448103752
再战,-2.804249626
一丝丝,-2.971658787
年纪,-3.431056782
刚买,-1.973880915
金山词霸,-3.101406998
程序员,-3.724514513
国产,-3.376118774
澎湃,-3.037214103
兄弟,-3.597566251
广告,-3.782972738
优化,-4.141521534
情况,-4.055859392
越帅,-3.271655034
价钱,-3.013175891
问雷,-3.23608259
推荐,-3.173710476
发怒,-4.288422852
游戏,-3.840386187
军,-2.59508046
掉,-4.961130499
比较,-3.62381901
货,-3.407568438
度过,-3.053114464
飞吻,-3.883057982
雷总好帅,-1.735647459
讲,-3.474323353
平易近人,-3.338124214
感动,-3.764291074
自动,-4.779179273
品牌,-3.966145986
一个月,-3.941469045
用到,-3.346877178
味道,-2.669078967
后来,-4.140485116
新,-3.770375882
榜样,-2.702032351
绿色,-3.076289687
回忆,-3.454195472
时光,-3.793978348
爱雷,-1.814663859
安排,-3.231923643
心态,-2.83318125
遇到,-3.333072297
当初,-2.825195163
全家,-2.637686626
其实,-2.794865529
好多,-2.713003788
性能,-3.090148621
遗憾,-2.719248681
真帅,-2.818110601
魅力,-2.49367993
看着,-3.407533114
一点点,-2.684793389
最酷,-2.614363436
每个,-2.788479233
贡献,-3.182476671
路,-3.357876412
帅哥,-2.039066513
当时,-3.681625752
投资,-2.973167023
失望,-2.743809054
生态,-3.651444669
雷总翻,-2.169456267
第一部,-2.18368362
回复,-2.116065659
少,-3.302254789
我家,-2.556051663
全是,-2.545184508
耳机,-3.946563118
良心,-2.490933939
原来,-2.482796645
我想,-2.096673052
心中,-3.426562509
油,-2.931850637
狗,-3.014851714
生死,-2.643871325
看淡,-3.194956649
雷总想,-2.900475352
加入,-3.021955791
机,-3.660271974
吹,-4.10333603
买买,-2.76345974
疫情,-3.747827842
没用过,-1.556702274
肯定,-3.975964865
影响,-3.367837966
呦,-1.551407234
太贵,-3.136934228
灵光一闪,-3.160214315
是因为,-3.281087279
如今,-3.354473177
不想,-3.802508302
尬笑,-2.706093387
智能,-3.138275456
重要,-3.049674205
两年,-3.588879811
死机,-3.511669286
打开,-3.832465613
台,-2.51393372
暗恋,-2.579306364
董明珠,-2.811285654
不在,-3.545261355
第一个,-2.701127535
雷总老,-2.572171571
只能,-3.570318436
客服,-4.111790166
岁月,-1.620046538
春奶,-2.12587424
白,-1.982977959
色色,-3.183938523
疲惫,-3.070962484
常程,-1.9253858
每次,-3.242819806
进,-3.039976792
只用,-2.240939581
可惜,-1.868648398
学,-2.913410995
追过,-2.7330697
挺帅,-1.572481799
太差,-3.045466659
雷总雷,-1.463793613
免费,-3.055334364
谈恋爱,-2.289515462
气,-2.568121755
军军,-2.447674809
高端,-4.057801195
发福,-2.27924698
开心,-2.667294848
出现,-3.678273758
低配,-3.269351542
来个,-2.754366941
代表,-3.2431965
带,-3.008326967
引起,-1.662660334
无敌,-2.155313719
真正,-3.230388044
卢伟冰,-3.027949616
发量,-2.833912531
怎么回事,-2.86192296
坑,-2.835740872
经历,-2.948802904
回到,-2.647438446
耶耶,-1.994008096
不变,-2.124327414
干嘛,-2.053937092
舒服,-2.738068611
发热,-2.828990393
优惠,-2.598487394
阉割,-1.984807048
高中,-3.413658105
原因,-2.089179398
真是,-3.038779277
很大,-4.154146613
找到,-2.822970468
怼,-2.436298323
思考,-2.57827181
盒子,-2.074786439
雷总真帅,-1.271071707
行业,-3.305018167
意思,-1.875835781
正在,-3.376999253
翻看,-2.138644594
皮夹克,-1.899562573
幸运,-2.76594653
唱,-2.13047638
实在,-2.832397123
忘,-2.560498465
解锁,-3.79107854
一加,-2.746539295
有点像,-1.669046825
万,-2.690645019
反正,-2.967162764
企业,-3.242842118
品控,-2.549590639
沧桑,-1.8864407
没钱买,-2.655345729
粉,-1.945844194
这种,-2.572998247
吃瓜群众,-2.755937474
字,-3.001607461
隔壁,-3.023559833
好听,-2.433340694
小雷,-2.588787645
元,-2.404143871
对象,-2.41357313
砸,-2.550885463
一首,-3.11883858
难忘,-3.489069853
新款,-2.955625941
