,sentiment
用心,-0.8374217372686803
厂,-1.0852070359139303
不用,-1.2301664678997812
无所谓,-1.4225341066233361
天下,-0.9333312459308778
行,-1.1969442525099825
真棒,-0.7875218350407931
干活,-1.1500209118527187
高,-1.4835290146966633
强,-0.9913709673367748
不够,-0.7874841208400303
绝对,-0.9147811472139926
美的,-1.0155599238962965
强大,-0.9907340435331566
死心塌地,-0.8917291462757746
归属感,-1.0163444785518534
利益,-1.0682735551058489
世界,-1.2312198035048576
想来,-0.8079148936924314
更好,-0.9253389573931847
牛赞,-0.44081209807996324
家具,-1.324486610168664
品牌,-1.4966833764352572
估计,-1.2609367497353938
担当,-0.9967762920641348
拼命,-1.192256713866647
死,-1.2196831534172494
技术员,-0.9894776654036981
强壮,-1.089770431639176
离职,-1.26253521779803
干到,-1.0685373172381563
疫情,-1.41837496194055
扫地,-1.2460043471370243
要求,-1.2865333601896416
缺,-1.1120552568084716
目标,-1.1448220318913607
成功,-1.1776121732975264
安心,-1.1847732944846001
心,-1.4101843287671307
最棒,-0.6570684529540938
工厂,-1.0439818358573962
能力,-0.9849421400942424
魄力,-0.7820972530690922
孩子,-1.1440065798749997
事业,-1.2769384886469628
珠海,-0.8038527028545372
造,-0.8504189431887481
加入,-0.6609731891064061
未来,-1.1359554038522004
年轻人,-1.4096000050063822
扣,-1.4902621536870209
感觉,-1.2897644569508193
马云,-0.7798982725452847
得到,-1.3615717772109437
贡献,-1.168817550100942
赚钱,-1.2978380693127725
职工,-0.9901395100227328
不愧,-0.8292541104134473
有房,-1.2154113281115868
已经,-1.2798359736836866
点个,-0.45322276841355336
最有,-0.9503169079394018
敬佩,-0.9074542385190005
确实,-1.0003836349185335
祈祷,-1.367656508626558
辛苦,-0.8861431677427024
生产,-1.0887099735752965
大事,-1.0944339398285203
不了,-0.803186904581124
做事,-0.9400337308062549
南康,-1.390901343949262
感恩,-0.9640600049947229
天天,-1.2095319436604735
文化,-0.9868595230504439
一句,-1.1780920075744796
东,-1.2451996232656488
妈妈,-0.5367359276686937
住房,-1.2682378291020304
服务,-0.8212737464107115
十年,-1.1697410251585856
第一,-0.9030109297834901
分配,-0.9587181362233546
底层,-0.5905464983844781
一生,-0.996462992749029
全世界,-0.8246633934356487
管理,-1.0143681289772424
大气,-0.6005328141947358
安居乐业,-0.6439185540829875
不好,-1.2502503325046193
准备,-1.0179632509004168
有个,-0.8490728820213125
想想,-0.976765137471008
里面,-1.0780448371130187
价值,-1.0615564711630177
聪明,-0.9273435001132431
基层,-0.8737031736046446
董姐点,-0.17726873643225466
真心,-0.76891220572129
贵,-1.0183176385756307
敢,-1.0255336411951523
读书,-0.7776416975879133
送,-0.8410546093383642
帮,-1.0037081732147612
两房一厅,-0.7531965647076841
偷笑,-0.9336299258593601
赚,-1.0529830699004192
房产,-0.8840387035437076
普通,-0.7859569413876875
几年,-1.0910757719339146
我家,-0.9161394618010221
男人,-1.0220394006240907
骄傲,-0.6126054016191149
地方,-0.9116743755146377
人民,-0.8450883128413567
最牛,-0.5598082408713918
民族,-0.5638308625873816
居住权,-0.8142849269677264
听,-1.145635809760011
笑哭,-1.2818778668001456
拿到,-1.0154303033767167
人生,-0.909472486557531
建房,-0.5597373808417894
懂姐,-0.448080654488484
一点,-0.4918496267327044
继续,-0.8650723503430999
房租,-0.9388428130002697
高管,-0.8052258625287312
请,-0.7345013223722954
心里,-0.8657179738739067
实事,-0.5956329578444766
女性,-0.7902901959654289
好人,-0.5797056468202191
电器,-0.9075911366759516
心中,-0.4671649913414061
里,-0.9548623147634172
招聘,-0.47975734066207487
够,-0.5234191709053838
好羡慕,-0.4450794144237008
普通工人,-0.6299828028410166
早,-0.9459132251631197
技术骨干,-0.813965689541535
招,-0.5907977169357705
厂里,-0.8949636895579203
想要,-0.7133991708318534
安排,-0.9846032504862623
梦想,-0.6524769413906812
情怀,-0.6835105235701759
不在,-0.8825711833484562
太棒了,-0.5024368738110464
不行,-0.8789012649392163
福气,-0.4525285542592261
害羞,-1.111183234718304
算,-0.9397296246275835
点赞赞,-0.48919890215296
资格,-0.8488836469673219
租房,-0.8440103229333878
两个,-0.7275012560003395
夫妻,-0.9129370700052373
小,-0.537891566605355
之前,-0.7041886542905376
后悔,-0.6496245479099649
安装,-0.9680649410671485
收,-0.6943397357402143
投奔,-0.8600137820554069
耶,-0.6609513088777549
好好学习,-0.6366560424163547
握手,-1.0580628777842662
不多,-0.6147996763851721
重视,-0.6582266062088011
酷拽,-0.5600250670983792
安装费,-1.0252747118277825
谱,-0.4588688459205722
能干,-0.6035864381000433
还招,-0.4124096578498002
话,-0.8192292721591516
集团,-1.0152445618547674
漂亮,-0.8688858960683332
换,-1.0302371953842426
美女,-0.518369084173551
老大,-0.5364314758835528
明天,-0.5101922716969274
今天,-0.851701365330479
奋斗,-0.9583737161858328
实际,-0.8202281625272532
离开,-0.9548772587392431
技术工,-0.5869239941437279
付出,-0.8881999569277186
难,-0.6970829735646504
发怒,-1.3037120254714727
太牛,-0.3173110046435394
收回,-0.7429332409081917
听到,-0.7287808114648391
值,-0.7396243571408929
打脸,-0.7807096690079269
多少钱,-0.9064976056477625
关系,-0.5648805631206322
安居,-0.8198482462996459
乐业,-0.8668471208165439
坏笑,-0.7097162404728157
享受,-0.7700335847932476
购买,-0.8774390665340405
产品,-0.5476075702959283
家庭,-0.5594962069796756
当然,-0.8668587778559427
万,-0.4948477529304574
不干,-0.9327997289405507
应聘,-0.6320426667561629
就服,-0.22484544393477665
台,-0.506658272611941
毕业,-0.6628025335030812
搬,-0.8379471767196431
砖,-0.7530834710619883
装修,-0.44383186371437255
服,-0.4764222679425879
送给,-0.5328750378052798
我后,-0.4679424521652304
操作工,-0.6200906840608058
差,-0.6756231195713593
成,-0.6122565753680386
追随,-0.5544840233635895
一厅,-0.890991634530064
越做越,-0.8408108029884905
属于,-0.5584766873310041
少,-0.5954465684196298
能分,-0.7690136163868806
全部,-0.4990992889470489
想到,-0.6009053230358585
幸运,-0.4444064864720568
怕,-0.5055874319341771
以上,-0.8230140699487021
不想,-0.623211219523158
多些,-0.541030100234456
想着,-0.5034249083853056
回报,-0.6915585610637345
清楚,-0.7698935973681089
懂得,-0.8707324234036161
赞好,-0.234679143118098
大饼,-0.9319244517059261
大姐大,-0.4092796865254271
手机,-0.6686888179959178
下去,-0.7705610421509008
完,-0.8352335754901812
击掌,-1.1858853880382
总裁,-0.5790590948225124
买卖,-0.7920615210027444
生意,-0.5489236560261659
大赞,-0.36012772864764986
先,-0.9218484284507444
建,-0.5120781265865565
同样,-0.4782054758697232
睡,-0.8651848613824809
到底,-0.5341903503279191
商人,-0.737082258962537
最大,-0.7787837588474983
现实,-0.6337840826326717
招不招,-0.45251234983623584
家电,-0.49409316530099534
月,-0.8649331851572227
最后,-1.0322340845352762
奥莉,-0.3733835714188743
问问,-0.5252568776415203
意思,-0.6730819942160988
踏实,-0.5105901853538664
百年,-0.3337760952718792
没关系,-0.45183632936808826
炒房,-0.47377305042472184
崇拜,-0.6421659936388227
京东,-0.29836209339217173
我能,-0.4016593500061725
卖力,-0.5398462424359196
样子,-0.2975488386852526
安装工,-0.6278118416917724
恨,-0.3812884860572865
带,-0.6639298102122171
保洁,-0.7013885659891808
下辈子,-0.4924629216427493
花,-0.5202214302506887
特别,-0.40580614428326306
手下,-0.8392574049007893
有房住,-0.4998865566871383
一位,-0.41277201765326615
家人,-0.510821022126888
谋福利,-0.23748948557465954
做好,-0.7137984152134608
地产,-0.41200698816123077
郭晶晶,-0.2634602353770752
两室,-0.8973061440641652
就要,-0.8253316672371074
销售,-0.5059505769255748
老公,-0.36644999962106595
比较,-0.5227827715870943
全,-0.6018971018243054
专业,-0.5250083521682138
份,-0.5324168504286446
那种,-0.6225188051486483
人人,-0.7489067501878586
快,-0.36904971680242177
不失礼貌的微笑,-0.6042214362474845
愿,-0.6453581186341621
女老板,-0.618015642246236
画饼,-0.5752541709964727
稳定,-0.7413008094434019
根本,-0.6552081113263319
生产线,-0.6741046648619289
厕所,-0.6031173740596862
好像,-0.6191364641858256
消费者,-0.7309904791655335
奸笑,-0.6293023670861109
画,-0.6955394755840353
师傅,-0.8718433613989658
楷模,-0.45257755802734334
姓,-0.5959682129327905
赞董,-0.6704472868005091
顶,-0.47069092693177705
居然,-0.7394477528602743
压力,-0.7167344710612729
农民工,-0.31779743784738934
我会,-0.587581886804827
这辈子,-0.6838145077944648
小姐姐,-0.46795376660658633
洗洗,-0.7899246319999654
华为,-0.5450476545528
老百姓,-0.7249057100538108
无疆,-0.5201298737012406
小鼓掌,-0.7359907923906973
东哥,-0.6476906954366481
回家,-0.7127685542736626
高兴,-0.31186413745195085
更加,-0.7507304382168276
售后,-0.8490233876553188
总是,-0.5849969727468225
老板娘,-0.4877753986123219
责任感,-0.5463800760848269
创业,-0.681248455170339
没房,-0.3704181160923029
一个月,-0.6939647245731465
降,-0.5584270829348219
有点像,-0.46751775923791794
看来,-0.4985385611077655
挣钱,-0.6301877118439722
拼了命,-0.3513624086637005
对待,-0.2783937883135003
过去,-0.5746676447563873
国企,-0.5376282428592918
听说,-0.6399578048277411
走人,-0.34495790365494805
就行,-0.6515714725350799
打杂,-0.6876047809762047
董总点,-0.22659073288457
你家,-0.5539708942294497
大学毕业,-0.6020230254097936
利润,-0.3964904245461748
我来,-0.5372223498570379
身上,-0.7179250348396635
东西,-0.5423444566493523
看着,-0.4443628418731189
多点,-0.26382796868933345
干赞,-0.40659777324158675
免费送,-0.6760221779976834
信赖,-0.4242189217094405
房分,-0.5463846664233334
管理人员,-0.48925324164396655
建个,-0.555644931253835
行业,-0.5342559115201164
第二个,-0.5252872432385582
发呆,-0.4843184067464312
大大的,-0.18772485160942035
直接,-0.5616847370878779
哒,-0.47855093681624983
人赞,-0.22320777773551104
一年,-0.5197613422885613
生产力,-0.37473733566899836
早就,-0.5310002724338115
东方明珠,-0.2604647191268731
人心,-0.5032890895919029
啥时候,-0.471504522694958
交,-0.6594529162398728
跑,-0.42896740978259246
不知,-0.42356334494191783
上学,-0.5349545295518205
发愁,-0.25857092540181625
炒,-0.4007924339155896
有人,-0.4437687723430713
发,-0.44652931487716596
暖心,-0.26680722892973907
眼光,-0.24287286716250117
色色,-0.4783619095609853
辉煌,-0.5195160643001777
不好意思,-0.34775775427065037
年薪,-0.6318049845051075
见,-0.43904029761013263
责任,-0.6636332090178192
其实,-0.6924209290969774
提供,-0.5631089039658843
难得,-0.5092832720174862
总公司,-0.35726151346800256
办,-0.6891887932524031
实业,-0.30011867897960987
盖,-0.5816860365872057
来得及,-0.42785243795613825
关爱,-0.5856039294645301
赞有,-0.44957043763140847
起码,-0.6247199372027146
保障,-0.36958931208308166
格力电器,-0.36669898986666577
曹德旺,-0.34216432843184574
大手笔,-0.39138373849925234
视频,-0.4436633119790783
尊重,-0.5862293469403725
配套,-0.559412240876938
很棒,-0.30461915642661685
实干,-0.32525624067549624
棒棒,-0.6396600633791893
这样的话,-0.4217848668563385
岗位,-0.6212165650088737
老人,-0.974262011974403
很大,-0.5001975584517577
车间,-0.48183425461318685
以为,-0.5411758806191092
典范,-0.44639998779760437
感动,-0.23668406154476848
分到,-0.4695421908995905
房贷,-0.5305513189672503
挣,-0.5485104066337256
造赞,-0.30215656278283964
奥克斯,-0.55230833888976
你好,-0.4836541905136902
没什么,-0.541993588643251
报名,-0.4695852015769693
有份,-0.6456983600887878
何愁,-0.5391034411614752
注意,-0.3969588277309539
留得,-0.3843635863348212
划,-0.4155368000811629
真想,-0.5349197876789262
同事,-0.7286231967865995
快哭了,-0.49977161165085454
喷,-0.6205937851987974
原因,-0.4030644065687127
遇不到,-0.29340094632087915
恭喜,-0.639538608357288
尬笑,-0.7523556784155933
