,Valence,Arousal,Dominance,Average
0,-0.07718139956138347,-0.0012002393957004302,-0.03907681039749486,-0.039152816451526254
1,0.002967712435062651,0.00909010527583505,-0.04102169487272056,-0.00965462572060762
Average,-0.03710684356316041,0.00394493294006731,-0.04004925263510771,-0.024403721086066935
SD,0.05667398059876712,0.007276372497989594,0.0013752410010565324,0.021775198032604415
