,sentiment
别人,-0.3702422511433121
一顿,-0.3636721850681983
下,-0.26570563533197633
先,-0.2603957016537879
土豆,-0.2901744090347071
东西,-0.30430978917314233
病,-0.15583833020042195
美女,-0.20690007104565405
打满,-0.10735279426955951
米饭,-0.25842652019089396
我家,-0.37391446036056775
胖,-0.29697653851890476
蚯蚓,-0.2233773399310796
帮,-0.22266535106784432
起来,-0.20392956093097203
不失礼貌的微笑,-0.2171476342455939
大叔,-0.2245322273594751
从来,-0.20133045467720237
比较,-0.2725656931742527
工厂,-0.20443378082072472
反正,-0.2265795415267604
骂,-0.24226196763413888
全是,-0.29666866022342675
一点点,-0.2358421342556764
没用,-0.12570682657104354
吖,-0.13867909199116624
一颗,-0.29666998796192534
一起,-0.24898582644112666
一根,-0.22615259054459785
校服,-0.15060787463243158
情况,-0.3126899858654061
满,-0.21486328422921575
厂里,-0.11089025038002381
逼,-0.35068656473435766
爱,-0.17437402167613414
其实,-0.2097130438552149
倒掉,-0.22507392575570323
有个,-0.24647175939210572
吃饱,-0.25655107624745604
小学,-0.19246313022815142
不用,-0.245583609406224
尴尬,-0.22406324869302147
吐,-0.24177667888554044
笑容,-0.23568605943276685
已经,-0.15279932250862607
肯定,-0.2125599366192166
妈妈,-0.20744924853311328
外面,-0.15972308074789254
苒,-0.16768103432708337
放,-0.2631662183739143
抖掉,-0.20560648297018125
治,-0.22220074330317724
中午,-0.21690305883713654
菜里,-0.26669015855508493
过来,-0.2571128994126901
打完,-0.1999159120645621
下次,-0.18559597582075849
她家,-0.21727509865587502
逐渐,-0.24350715498207914
就行了,-0.2147902102651344
之前,-0.1721900975020979
像不像,-0.15170355521587953
喂猪,-0.1647398329830861
电影,-0.17181413204700385
不让,-0.2553235885215129
西红柿,-0.26342218741913825
男,-0.19673027070043522
盐,-0.2596409238867865
炒,-0.2225965324599621
鸡腿,-0.22246733722294865
奥利,-0.1612879347568154
砸,-0.18501026707556215
窗口,-0.2569195493920964
幸好,-0.1916894198306066
不好,-0.20520945653509276
女儿,-0.078937295754459
爱心,-0.24343002219590934
有人,-0.18882625259953928
抖功,-0.14060487034886238
怀疑,-0.15032769531841383
干嘛,-0.17885307977075526
米,-0.2921338545905094
难道,-0.15036027201814267
后,-0.1834384611020685
厨房,-0.16678100528329587
刷,-0.1888526800008679
回家,-0.16885884042285418
希望,-0.22335748935513922
简直,-0.19130279316549828
生怕,-0.209998792839139
瘦,-0.18275446094492465
指甲盖,-0.32939106316214284
喝汤,-0.1815746168885874
月亮,-0.11236529729045786
那种,-0.21576721520904163
原来,-0.20877010776681293
交,-0.21064924347130176
小熊,-0.20191371428036087
煮,-0.26061047711760943
滴,-0.10978036173570549
根本,-0.12134392530170682
一半,-0.21242377092424636
奶奶,-0.17144550149365845
螺丝,-0.1328388205646543
做到,-0.178352201300775
长大,-0.16298561746843154
绝望的凝视,-0.19511911416451078
可能,-0.13831028886828634
猪,-0.11366273037718824
烟头,-0.21720634917147194
鼓掌,-0.18260177295117663
慢慢,-0.2757685391521514
开学,-0.1596864015579849
撑,-0.13447626112427563
玖,-0.17157504648694583
差点,-0.17268689526481545
动作,-0.11178103599421504
三抖,-0.17280624362570485
锅汤,-0.20720447052126595
公司,-0.13718537866713687
石化,-0.2073052720953994
贼,-0.17359684452616408
班主任,-0.1676045263071872
蔬菜,-0.1683033546935372
汤里,-0.21528802038946504
小姐姐,-0.1420772572774905
超,-0.1630472469628806
成,-0.21619240962486197
可怜,-0.17510922715727362
毛毛虫,-0.12329597852123989
曾经,-0.17239717684058092
敢,-0.22552745941214217
别抖,-0.06992175748849194
舀,-0.20309821688047985
了解,-0.2055370014550238
洗洁精,-0.23577447047745143
小小,-0.21036374572629027
留,-0.19245352503904245
温柔,-0.10765415264934221
很多很多,-0.17657298455926768
现实,-0.1028985818429354
上面,-0.2535927067191934
牛,-0.25320216806521917
一口,-0.2761589829850388
主任,-0.17057661225664855
传说,-0.07516532855270412
同款,-0.1281971753236374
永远,-0.1926693173453064
机智,-0.1368238701182864
下去,-0.20389750459179437
月,-0.17845696348421972
非常,-0.20674415894681414
馒头,-0.1521652965860928
丢,-0.20596894102705232
所有,-0.16135040325627067
说实话,-0.13156118122849625
大碗,-0.15157105918390962
全部,-0.22989809768102318
掉,-0.19564867748957246
一大堆,-0.18272648797884616
泡面,-0.1331300740781593
听,-0.11927100779389457
卧槽,-0.09346480446397432
心动,-0.05982664288366624
震惊,-0.20957644218224852
挖,-0.20381371940237442
蜈蚣,-0.13860162942870996
头发丝,-0.22189970110611254
肉丝,-0.19560853644827436
中学,-0.13595462672645925
石头,-0.15584198201928984
一天,-0.16997250304157036
必须,-0.1585356056172253
心,-0.1204248975132364
点赞,-0.16989351884932608
消失,-0.15220301853064497
名,-0.16219776464079727
学习,-0.19336296113058732
李,-0.12210274884641928
玻璃,-0.15696452737658964
证明,-0.22545725618920692
兼职,-0.19100084102299536
不像,-0.17731023293547518
再也,-0.1850572776511588
带个,-0.13073210021238843
满满,-0.16477057357133723
心情,-0.08121694024084596
怪,-0.08801913703904166
抖勺,-0.1345037613562684
抖成,-0.21010551681923523
